timestamp,tank_liquidlevel,tank_upperbound,tank_lowerbound,flowlevel,sensor2_thresh,bottle_liquidlevel,bottle_upperbound,bottle_lowerbound,motor_status,class,attack_type
28:17.6,4.22337963,5.81,0.3,3.024392843,3,0.521759272,0.9,0,1,anomaly,Scaling
28:21.8,4.098611111,5.81,0.3,2.788944006,3,0.680555582,0.9,0,1,anomaly,Scaling
28:25.6,3.928472222,5.81,0.3,2.613773823,3,0.907407403,0.9,0,0,anomaly,Scaling
28:30.0,3.815046296,5.81,0.3,0.841433108,3,0.04537037,0.9,0,1,anomaly,Scaling
28:34.8,3.769675926,5.81,0.3,3.39782548,3,0.226851851,0.9,0,1,anomaly,Scaling
28:38.6,3.667592593,5.81,0.3,2.648222446,3,0.385648161,0.9,0,1,anomaly,Scaling
28:43.3,3.508796296,5.81,0.3,3.330905914,3,0.793981493,0.9,0,1,anomaly,Scaling
28:48.1,3.384027778,5.81,0.3,3.128149033,3,0.907407403,0.9,0,0,anomaly,Scaling
28:52.2,3.30462963,5.81,0.3,0.84456861,3,0,0.9,0,1,anomaly,Scaling
28:57.0,3.270601852,5.81,0.3,3.200706244,3,0.204166666,0.9,0,1,anomaly,Scaling
29:01.5,3.157175926,5.81,0.3,2.962706089,3,0.340277791,0.9,0,1,anomaly,Scaling
29:05.9,2.987037037,5.81,0.3,2.938775778,3,0.771296322,0.9,0,1,anomaly,Scaling
29:10.6,2.805555556,5.81,0.3,3.306620359,3,0,0.9,0,1,anomaly,Scaling
29:14.9,2.69212963,5.81,0.3,2.818953037,3,0.249537036,0.9,0,1,anomaly,Scaling
29:20.0,2.533333333,5.81,0.3,2.754954338,3,0.612500012,0.9,0,1,anomaly,Scaling
29:24.2,2.329166667,5.81,0.3,2.450000048,3,0.907407403,0.9,0,0,normal,nil
29:28.5,2.193055556,5.81,0.3,0,3,0.04537037,0.9,0,1,normal,nil
29:32.7,2.147685185,5.81,0.3,2.450000048,3,0.226851851,0.9,0,1,normal,nil
29:37.4,1.977546296,5.81,0.3,2.450000048,3,0.521759272,0.9,0,1,anomaly,Scaling
29:41.6,1.784722222,5.81,0.3,2.450000048,3,1.795982361,0.9,0,0,anomaly,Scaling
29:46.6,1.659953704,5.81,0.3,0,3,0.891115665,0.9,0,1,anomaly,Scaling
29:51.8,1.603240741,5.81,0.3,2.450000048,3,1.175781369,0.9,0,0,anomaly,Scaling
29:56.0,1.421759259,5.81,0.3,0,3,0.901550233,0.9,0,0,anomaly,Scaling
30:00.1,1.421759259,5.81,0.3,0,3,0.732114553,0.9,0,1,anomaly,Scaling
30:04.4,1.376388889,5.81,0.3,2.450000048,3,0.81007874,0.9,0,1,anomaly,Scaling
