timestamp,tank_liquidlevel,flowlevel,bottle_liquidlevel,motor_status,class
54:42.4,1.489814815,0,1.259027719,0,Scaling
54:47.2,1.489814815,0,1.259027719,0,Scaling
54:52.4,1.489814815,0,1.259027719,0,Scaling
54:58.3,1.489814815,0,1.259027719,0,Scaling
55:49.2,5.743287037,1.225000024,0.249537036,1,Scaling
55:53.7,5.49375,1.225000024,0.657870352,1,Scaling
55:57.9,5.312268519,1.225000024,0.907407403,0,Scaling
56:01.9,5.176157407,0,0.13611111,1,Scaling
56:06.0,5.14212963,1.225000024,0.249537036,1,Scaling
56:10.1,4.971990741,1.225000024,0.544444442,1,Scaling
56:14.4,4.813194444,1.225000024,0.907407403,0,Scaling
56:18.5,4.677083333,0,0.022685185,1,Scaling
56:22.3,4.631712963,1.225000024,0.13611111,1,Scaling
56:26.1,4.484259259,1.225000024,0.453703701,1,Scaling
56:29.9,4.336805556,1.225000024,0.748611093,1,Scaling
56:35.7,4.178009259,1.225000024,0.068055555,1,Scaling
56:40.6,3.951157407,1.225000024,0.408333331,1,Scaling
56:45.8,3.746990741,1.225000024,0.862037063,1,Scaling
56:50.9,3.554166667,1.225000024,0.09074074,1,Scaling
56:56.1,3.35,1.225000024,0.567129612,1,Scaling
57:01.4,3.134490741,1.225000024,0.907407403,0,Scaling
57:06.8,2.975694444,0,0.113425925,1,Scaling
57:12.1,2.918981481,1.225000024,0.362962961,1,Scaling
57:16.7,2.714814815,1.225000024,0.680555582,1,Scaling
57:20.9,2.533333333,1.225000024,0.907407403,0,Scaling
57:25.2,2.408564815,0,0.13611111,1,Scaling
57:29.4,2.374537037,1.225000024,0.249537036,1,Scaling
59:24.2,3.996527778,3.675000191,0.850694418,1,Scaling
59:29.4,3.803703704,3.675000191,1.190972209,0,Scaling
59:33.6,3.712962963,0,1.259027719,0,Scaling
59:37.7,3.712962963,0,1.259027719,0,Scaling
59:42.1,3.712962963,0,1.259027719,0,Scaling
59:46.5,3.712962963,0,1.259027719,0,Scaling
59:50.8,3.712962963,0,1.259027719,0,Scaling
59:55.1,3.712962963,0,1.259027719,0,Scaling
59:59.3,3.712962963,0,1.259027719,0,Scaling
00:03.7,3.712962963,0,1.259027719,0,Scaling
00:08.1,3.712962963,0,1.259027719,0,Scaling
00:12.3,3.712962963,0,1.259027719,0,Scaling
00:16.5,3.712962963,0,1.259027719,0,Scaling
00:20.6,3.712962963,0,1.259027719,0,Scaling
00:25.0,3.712962963,0,1.259027719,0,Scaling
00:29.2,3.712962963,0,1.259027719,0,Scaling
