timestamp,tank_liquidlevel,flowlevel,bottle_liquidlevel,motor_status,class
09:06.8,1.535185185,0,0,1,normal
09:11.5,1.478472222,2.450000048,0.204166666,1,normal
09:15.8,1.285648148,2.450000048,0.612500012,1,normal
09:19.6,1.115509259,2.450000048,0.907407403,0,normal
09:23.5,1.013425926,0,0,1,normal
09:28.2,0.968055556,2.450000048,0.249537036,1,normal
09:32.9,0.775231481,2.450000048,0.635185182,1,normal
09:37.0,0.59375,2.450000048,0.907407403,0,normal
09:42.2,0.468981481,0,0,1,normal
09:46.5,0.412268519,2.450000048,0.181481481,1,normal
09:50.3,0.298842593,2.450000048,0.499074072,0,normal
09:54.1,5.8,0,0.499074072,1,normal
09:57.8,5.75462963,2.450000048,0.657870352,1,normal
10:01.7,5.607175926,2.450000048,0.907407403,0,normal
10:05.6,5.49375,0,0,1,normal
10:09.7,5.437037037,2.450000048,0.204166666,1,normal
10:14.4,5.278240741,2.450000048,0.521759272,1,normal
10:17.9,5.085416667,2.450000048,0.862037063,1,normal
10:22.0,4.949305556,2.450000048,0.13611111,1,normal
10:26.3,4.790509259,2.450000048,0.431018531,1,normal
10:30.3,4.609027778,2.450000048,0.793981493,1,normal
10:34.6,4.450231481,2.450000048,0.04537037,1,normal
10:38.8,4.26875,2.450000048,0.408333331,1,normal
10:43.2,4.098611111,2.450000048,0.680555582,1,normal
10:47.4,3.91712963,2.450000048,0.907407403,0,normal
10:52.2,3.803703704,0,0.113425925,1,normal
10:56.1,3.758333333,2.450000048,0.317592591,1,normal
11:00.5,3.588194444,2.450000048,0.635185182,1,normal
11:04.1,3.418055556,2.450000048,0.907407403,0,normal
11:07.9,3.30462963,0,0,1,normal
11:11.8,3.259259259,2.450000048,0.226851851,1,normal
11:15.9,3.100462963,2.450000048,0.476388901,1,normal
11:19.7,2.930324074,2.450000048,0.839351833,1,normal
11:23.9,2.78287037,2.450000048,0.068055555,1,normal
11:27.6,2.612731481,2.450000048,0.362962961,1,normal
11:31.6,2.47662037,2.450000048,0.680555582,1,normal
11:35.6,2.317824074,2.450000048,0.907407403,0,normal
11:39.6,2.204398148,0,0,1,normal
11:43.7,2.159027778,2.450000048,0.13611111,1,normal
11:47.5,1.988888889,2.450000048,0.499074072,1,normal
11:51.1,1.830092593,2.450000048,0.839351833,1,normal
11:54.7,1.693981481,2.450000048,0.907407403,0,normal
11:58.4,1.580555556,0,0.13611111,1,normal
12:02.2,1.535185185,2.450000048,0.294907421,1,normal
12:05.9,1.376388889,2.450000048,0.635185182,1,normal
12:09.5,1.228935185,2.450000048,0.907407403,0,normal
12:13.3,1.126851852,0,0,1,normal
12:17.1,1.081481481,2.450000048,0.181481481,1,normal
12:20.8,0.934027778,2.450000048,0.431018531,1,normal
12:24.5,0.786574074,2.450000048,0.771296322,1,normal
12:28.0,0.63912037,2.450000048,0.907407403,0,normal
12:31.7,0.537037037,0,0.068055555,1,normal
12:35.5,0.491666667,2.450000048,0.272222221,1,normal
