timestamp,tank_liquidlevel,flowlevel,bottle_liquidlevel,motor_status,class
13:30.3,0.310185185,2.450000048,0.431920469,1,Data tampering
13:34.6,5.75462963,2.450000048,0.045892894,1,Data tampering
13:38.9,5.573148148,2.450000048,0.690989435,1,Data tampering
13:43.1,5.391666667,2.450000048,0.885856569,1,Data tampering
13:47.4,5.221527778,2.450000048,0.587036431,1,Data tampering
13:51.6,5.051388889,2.450000048,0.307660341,1,Data tampering
13:55.6,4.88125,2.450000048,0.282772154,1,Data tampering
13:59.9,4.711111111,2.450000048,0.739757895,1,Data tampering
14:03.9,4.552314815,2.450000048,0.746483386,1,Data tampering
14:07.9,4.382175926,2.450000048,0.143887728,1,Data tampering
14:11.9,4.22337963,2.450000048,0.391916245,1,Data tampering
14:15.7,4.064583333,2.450000048,0.711367369,1,Data tampering
14:20.0,3.905787037,2.450000048,0.778431058,1,Data tampering
14:24.2,3.735648148,2.450000048,0.774813294,1,Data tampering
14:28.1,3.576851852,2.450000048,0.866600752,1,Data tampering
14:32.0,3.418055556,2.450000048,0.716413498,1,Data tampering
14:36.0,3.259259259,2.450000048,0.132166862,1,Data tampering
14:39.9,3.100462963,2.450000048,0.556588531,1,Data tampering
14:43.8,2.941666667,2.450000048,0.474334151,1,Data tampering
14:47.6,2.78287037,2.450000048,0.736557305,1,Data tampering
14:51.4,2.624074074,2.450000048,0.497246027,1,Data tampering
14:55.6,2.465277778,2.450000048,0.080728509,1,Data tampering
14:59.9,2.295138889,2.450000048,0.290999353,1,Data tampering
15:03.9,2.125,2.450000048,0.791131377,1,Data tampering
15:07.7,1.966203704,2.450000048,0.267896295,1,Data tampering
15:11.7,1.807407407,2.450000048,0.220546752,1,Data tampering
15:16.1,1.648611111,2.450000048,0.491217613,1,Data tampering
15:20.4,1.46712963,2.450000048,0.77896601,1,Data tampering
15:24.6,1.296990741,2.450000048,0.734665573,1,Data tampering
15:29.0,1.126851852,2.450000048,0.656845152,1,Data tampering
15:33.4,0.94537037,2.450000048,0.463555336,1,Data tampering
15:37.7,0.763888889,2.450000048,0.725930274,1,Data tampering
15:41.9,0.59375,2.450000048,0.848045647,1,Data tampering
15:46.1,0.423611111,2.450000048,0.779268801,1,Data tampering
15:50.3,0.298842593,2.450000048,0.78662926,0,Data tampering
15:54.5,5.8,0,0.343925744,1,Data tampering
15:58.6,5.75462963,2.450000048,0.305996537,1,Data tampering
20:32.5,2.850925926,2.450000048,0.381143034,1,Data tampering
20:36.5,2.658101852,1.798874259,0.344355702,1,Data tampering
20:40.4,2.499305556,2.800970316,0.44963941,1,Data tampering
20:44.3,2.340509259,2.374159098,0.460581839,1,Data tampering
20:48.3,2.181712963,0.624142468,0.801733017,1,Data tampering
20:52.5,2.022916667,1.611756921,0.517310321,1,Data tampering
20:56.6,1.852777778,1.391104698,0.319710732,1,Data tampering
21:00.9,1.682638889,2.818441153,0.749455512,1,Data tampering
21:05.3,1.501157407,0.54457587,0.465608567,1,Data tampering
21:09.7,1.319675926,0.732643664,0.736046851,1,Data tampering
21:14.1,1.138194444,0.283756703,0.766230702,1,Data tampering
21:18.4,0.956712963,2.042494297,0.150882885,1,Data tampering
21:22.5,0.786574074,2.304253101,0.642984092,1,Data tampering
21:26.7,0.616435185,0.240666196,0.734881639,1,Data tampering
21:30.8,0.446296296,2.849011421,0.807202756,1,Data tampering
21:34.7,0.298842593,1.103997707,0.674957037,0,Data tampering
21:38.9,5.8,1.941624761,0.538596928,1,Data tampering
21:42.9,5.765972222,1.091704607,0.648840725,1,Data tampering
21:46.8,5.607175926,2.14149785,0.538096666,1,Data tampering
21:50.9,5.44837963,0.119875342,0.008831582,1,Data tampering
21:55.1,5.278240741,2.012820005,0.597864032,1,Data tampering
21:59.4,5.096759259,2.463145494,0.121514209,1,Data tampering
22:03.7,4.92662037,1.854126215,0.639074445,1,Data tampering
22:07.9,4.756481481,0.048560061,0.493513376,1,Data tampering
22:12.3,4.575,2.339954853,0.544826806,1,Data tampering
22:16.7,4.393518519,0.991243899,0.505598307,1,Data tampering
22:20.8,4.212037037,1.386464715,0.216393307,1,Data tampering
22:25.0,4.041898148,1.419113398,0.365065813,1,Data tampering
22:29.5,3.871759259,0.214170337,0.45833379,1,Data tampering
22:34.1,3.690277778,0.908392966,0.907407403,0,Data tampering
22:38.3,3.542824074,0,0.068055555,1,Data tampering
