motor_status,timestamp,bottle_liquidlevel,tank_upperbound,flowlevel,bottle_lowerbound,tank_lowerbound,tank_liquidlevel,bottle_upperbound,sensor2_thresh
1,2021-05-04 16:10:20.018417,0.0,5.81,0.0,0.0,0.3,2.66944444444443,0.9,3.0
0,2021-05-04 16:10:23.654977,0.1587962955236435,5.81,2.450000047683716,0.0,0.3,2.62407407407406,0.9,3.0
0,2021-05-04 16:10:28.025870,0.3856481611728668,5.81,0.0,0.0,0.3,2.49930555555554,0.9,3.0
1,2021-05-04 16:10:32.296202,0.4763889014720917,5.81,0.0,0.0,0.3,2.41990740740739,0.9,3.0
0,2021-05-04 16:10:36.637255,0.7259259223937988,5.81,0.0,0.0,0.3,2.29513888888887,0.9,3.0
0,2021-05-04 16:10:41.203054,0.8620370626449585,5.81,0.0,0.0,0.3,2.22708333333331,0.9,3.0
0,2021-05-04 16:10:45.289187,0.0,5.81,2.450000047683716,0.0,0.3,2.12499999999998,0.9,3.0
0,2021-05-04 16:10:48.837124,0.1587962955236435,5.81,0.0,0.0,0.3,2.04560185185183,0.9,3.0
1,2021-05-04 16:10:53.341143,0.3402777910232544,5.81,0.0,0.0,0.3,1.95486111111109,0.9,3.0
1,2021-05-04 16:10:57.286199,0.657870352268219,5.81,2.450000047683716,0.0,0.3,1.80740740740738,0.9,3.0
1,2021-05-04 16:11:01.105453,0.7712963223457336,5.81,0.0,0.0,0.3,1.73935185185182,0.9,3.0
0,2021-05-04 16:11:05.232495,0.9074074029922485,5.81,0.0,0.0,0.3,1.65995370370367,0.9,3.0
1,2021-05-04 16:11:09.540563,0.13611111044883728,5.81,0.0,0.0,0.3,1.59189814814812,0.9,3.0
1,2021-05-04 16:11:13.729699,0.317592591047287,5.81,2.450000047683716,0.0,0.3,1.4671296296296,0.9,3.0
1,2021-05-04 16:11:18.164539,0.4763889014720917,5.81,0.0,0.0,0.3,1.36504629629626,0.9,3.0
0,2021-05-04 16:11:22.345692,0.612500011920929,5.81,0.0,0.0,0.3,1.29699074074071,0.9,3.0
1,2021-05-04 16:11:26.592002,0.7712963223457336,5.81,0.0,0.0,0.3,1.21759259259256,0.9,3.0
1,2021-05-04 16:11:30.742820,0.0,5.81,2.450000047683716,0.0,0.3,1.08148148148145,0.9,3.0
0,2021-05-04 16:11:34.916976,0.11342592537403107,5.81,0.0,0.0,0.3,1.01342592592589,0.9,3.0
0,2021-05-04 16:11:39.267037,0.27222222089767456,5.81,0.0,0.0,0.3,0.934027777777741,0.9,3.0
1,2021-05-04 16:11:43.569541,0.43101853132247925,5.81,0.0,0.0,0.3,0.854629629629593,0.9,3.0
1,2021-05-04 16:11:47.883465,0.6805555820465088,5.81,0.0,0.0,0.3,0.729861111111074,0.9,3.0
0,2021-05-04 16:11:51.809865,0.8620370626449585,5.81,2.450000047683716,0.0,0.3,0.650462962962926,0.9,3.0
0,2021-05-04 16:11:55.972297,0.0,5.81,0.0,0.0,0.3,0.571064814814778,0.9,3.0
1,2021-05-04 16:12:00.252253,0.1587962955236435,5.81,0.0,0.0,0.3,0.49166666666663,0.9,3.0
1,2021-05-04 16:12:04.829603,0.40833333134651184,5.81,0.0,0.0,0.3,0.366898148148112,0.9,3.0
0,2021-05-04 16:12:09.355307,0.5898148417472839,5.81,2.450000047683716,0.0,0.3,0.298842592592556,0.9,3.0
1,2021-05-04 16:12:14.134029,0.8166666626930237,5.81,0.0,0.0,0.3,5.73194444444445,0.9,3.0
0,2021-05-04 16:12:18.825219,0.0,5.81,0.0,0.0,0.3,5.60717592592593,0.9,3.0
1,2021-05-04 16:12:23.376377,0.27222222089767456,5.81,0.0,0.0,0.3,5.5164351851852,0.9,3.0
1,2021-05-04 16:12:27.524298,0.4763889014720917,5.81,2.450000047683716,0.0,0.3,5.39166666666668,0.9,3.0
0,2021-05-04 16:12:31.488416,0.5898148417472839,5.81,0.0,0.0,0.3,5.31226851851854,0.9,3.0
0,2021-05-04 16:12:35.447241,0.7259259223937988,5.81,2.450000047683716,0.0,0.3,5.24421296296298,0.9,3.0
1,2021-05-04 16:12:39.460254,0.8847222328186035,5.81,0.0,0.0,0.3,5.17615740740742,0.9,3.0
1,2021-05-04 16:12:43.370419,0.0,5.81,2.450000047683716,0.0,0.3,5.0627314814815,0.9,3.0
0,2021-05-04 16:12:47.254193,0.11342592537403107,5.81,2.450000047683716,0.0,0.3,4.99467592592594,0.9,3.0
0,2021-05-04 16:12:50.998168,0.22685185074806213,5.81,2.450000047683716,0.0,0.3,4.92662037037038,0.9,3.0
0,2021-05-04 16:12:54.974221,0.43101853132247925,5.81,0.0,0.0,0.3,4.84722222222223,0.9,3.0
1,2021-05-04 16:12:59.104384,0.5444444417953491,5.81,0.0,0.0,0.3,4.75648148148149,0.9,3.0
1,2021-05-04 16:13:03.176113,0.8393518328666687,5.81,0.0,0.0,0.3,4.62037037037038,0.9,3.0
0,2021-05-04 16:13:07.124843,0.9074074029922485,5.81,2.450000047683716,0.0,0.3,4.54097222222223,0.9,3.0
1,2021-05-04 16:13:11.330541,0.1814814805984497,5.81,2.450000047683716,0.0,0.3,4.47291666666667,0.9,3.0
1,2021-05-04 16:13:15.395237,0.40833333134651184,5.81,2.450000047683716,0.0,0.3,4.37083333333334,0.9,3.0
1,2021-05-04 16:13:19.458567,0.5444444417953491,5.81,2.450000047683716,0.0,0.3,4.2800925925926,0.9,3.0
0,2021-05-04 16:13:23.571480,0.7032407522201538,5.81,0.0,0.0,0.3,4.18935185185186,0.9,3.0
1,2021-05-04 16:13:27.626484,0.8166666626930237,5.81,0.0,0.0,0.3,4.1212962962963,0.9,3.0
1,2021-05-04 16:13:31.675173,0.0,5.81,2.450000047683716,0.0,0.3,4.00787037037037,0.9,3.0
1,2021-05-04 16:13:35.666143,0.13611111044883728,5.81,2.450000047683716,0.0,0.3,3.91712962962963,0.9,3.0
0,2021-05-04 16:13:39.627524,0.27222222089767456,5.81,0.0,0.0,0.3,3.84907407407407,0.9,3.0
1,2021-05-04 16:13:43.654330,0.43101853132247925,5.81,0.0,0.0,0.3,3.78101851851852,0.9,3.0
1,2021-05-04 16:13:47.651250,0.7032407522201538,5.81,2.450000047683716,0.0,0.3,3.65625,0.9,3.0
1,2021-05-04 16:13:51.495444,0.8166666626930237,5.81,0.0,0.0,0.3,3.57685185185185,0.9,3.0
0,2021-05-04 16:13:55.323424,0.9074074029922485,5.81,0.0,0.0,0.3,3.52013888888888,0.9,3.0
0,2021-05-04 16:13:59.240155,0.06805555522441864,5.81,0.0,0.0,0.3,3.45208333333333,0.9,3.0
1,2021-05-04 16:14:03.290644,0.24953703582286835,5.81,0.0,0.0,0.3,3.37268518518518,0.9,3.0
1,2021-05-04 16:14:07.352438,0.4763889014720917,5.81,2.450000047683716,0.0,0.3,3.27060185185184,0.9,3.0
1,2021-05-04 16:14:11.295558,0.5898148417472839,5.81,0.0,0.0,0.3,3.19120370370369,0.9,3.0
0,2021-05-04 16:14:15.280323,0.7486110925674438,5.81,0.0,0.0,0.3,3.11180555555555,0.9,3.0
0,2021-05-04 16:14:19.290495,0.9074074029922485,5.81,0.0,0.0,0.3,3.0324074074074,0.9,3.0
1,2021-05-04 16:14:23.318349,0.09074074029922485,5.81,0.0,0.0,0.3,2.97569444444443,0.9,3.0
0,2021-05-04 16:14:27.250209,0.317592591047287,5.81,0.0,0.0,0.3,2.8622685185185,0.9,3.0
0,2021-05-04 16:14:31.210232,0.4763889014720917,5.81,0.0,0.0,0.3,2.78287037037036,0.9,3.0
1,2021-05-04 16:14:35.378901,0.635185182094574,5.81,0.0,0.0,0.3,2.7148148148148,0.9,3.0
1,2021-05-04 16:14:39.405206,0.8166666626930237,5.81,2.450000047683716,0.0,0.3,2.61273148148146,0.9,3.0
0,2021-05-04 16:14:43.215181,0.9074074029922485,5.81,0.0,0.0,0.3,2.54467592592591,0.9,3.0
1,2021-05-04 16:14:47.243967,0.04537037014961243,5.81,0.0,0.0,0.3,2.49930555555554,0.9,3.0
1,2021-05-04 16:14:51.337567,0.317592591047287,5.81,2.450000047683716,0.0,0.3,2.38587962962961,0.9,3.0
0,2021-05-04 16:14:55.510616,0.45370370149612427,5.81,2.450000047683716,0.0,0.3,2.29513888888887,0.9,3.0
0,2021-05-04 16:14:59.548273,0.612500011920929,5.81,0.0,0.0,0.3,2.21574074074072,0.9,3.0
1,2021-05-04 16:15:03.674539,0.7486110925674438,5.81,0.0,0.0,0.3,2.14768518518516,0.9,3.0
0,2021-05-04 16:15:07.567165,0.9074074029922485,5.81,2.450000047683716,0.0,0.3,2.03425925925924,0.9,3.0
1,2021-05-04 16:15:11.574800,0.22685185074806213,5.81,0.0,0.0,0.3,1.97754629629627,0.9,3.0
1,2021-05-04 16:15:15.515523,0.3856481611728668,5.81,2.450000047683716,0.0,0.3,1.85277777777775,0.9,3.0
1,2021-05-04 16:15:19.571091,0.5898148417472839,5.81,2.450000047683716,0.0,0.3,1.76203703703701,0.9,3.0
1,2021-05-04 16:15:23.616208,0.7259259223937988,5.81,2.450000047683716,0.0,0.3,1.67129629629627,0.9,3.0
1,2021-05-04 16:15:27.616505,0.8620370626449585,5.81,0.0,0.0,0.3,1.59189814814812,0.9,3.0
0,2021-05-04 16:15:31.414530,0.0,5.81,2.450000047683716,0.0,0.3,1.51249999999997,0.9,3.0
1,2021-05-04 16:15:35.548388,0.1587962955236435,5.81,0.0,0.0,0.3,1.43310185185182,0.9,3.0
1,2021-05-04 16:15:39.549615,0.43101853132247925,5.81,2.450000047683716,0.0,0.3,1.3083333333333,0.9,3.0
0,2021-05-04 16:15:43.721008,0.5671296119689941,5.81,2.450000047683716,0.0,0.3,1.22893518518515,0.9,3.0
1,2021-05-04 16:15:47.741514,0.7712963223457336,5.81,0.0,0.0,0.3,1.149537037037,0.9,3.0
0,2021-05-04 16:15:51.593938,0.9074074029922485,5.81,2.450000047683716,0.0,0.3,1.03611111111107,0.9,3.0
1,2021-05-04 16:15:55.472059,0.04537037014961243,5.81,0.0,0.0,0.3,0.934027777777741,0.9,3.0
0,2021-05-04 16:15:59.387974,0.27222222089767456,5.81,2.450000047683716,0.0,0.3,0.820601851851815,0.9,3.0
0,2021-05-04 16:16:03.263139,0.43101853132247925,5.81,0.0,0.0,0.3,0.741203703703667,0.9,3.0
1,2021-05-04 16:16:07.217175,0.5898148417472839,5.81,0.0,0.0,0.3,0.661805555555519,0.9,3.0
1,2021-05-04 16:16:11.206879,0.8847222328186035,5.81,2.450000047683716,0.0,0.3,0.548379629629593,0.9,3.0
0,2021-05-04 16:16:15.138709,0.9074074029922485,5.81,0.0,0.0,0.3,0.44629629629626,0.9,3.0
1,2021-05-04 16:16:19.395321,0.20416666567325592,5.81,0.0,0.0,0.3,0.389583333333297,0.9,3.0
1,2021-05-04 16:16:23.337145,0.3629629611968994,5.81,2.450000047683716,0.0,0.3,0.298842592592556,0.9,3.0
1,2021-05-04 16:16:27.426572,0.4990740716457367,5.81,0.0,0.0,0.3,5.73194444444445,0.9,3.0
0,2021-05-04 16:16:31.508827,0.635185182094574,5.81,2.450000047683716,0.0,0.3,5.66388888888889,0.9,3.0
0,2021-05-04 16:16:35.540081,0.8393518328666687,5.81,0.0,0.0,0.3,5.58449074074075,0.9,3.0
1,2021-05-04 16:16:39.629681,0.0,5.81,0.0,0.0,0.3,5.5050925925926,0.9,3.0
1,2021-05-04 16:16:43.583814,0.11342592537403107,5.81,0.0,0.0,0.3,5.44837962962964,0.9,3.0
1,2021-05-04 16:16:47.679356,0.27222222089767456,5.81,0.0,0.0,0.3,5.3689814814815,0.9,3.0
1,2021-05-04 16:16:51.672821,0.5671296119689941,5.81,2.450000047683716,0.0,0.3,5.24421296296298,0.9,3.0
1,2021-05-04 16:16:55.905277,0.7032407522201538,5.81,2.450000047683716,0.0,0.3,5.15347222222224,0.9,3.0
0,2021-05-04 16:16:59.793099,0.8847222328186035,5.81,0.0,0.0,0.3,5.07407407407409,0.9,3.0
1,2021-05-04 16:17:03.875482,0.0,5.81,0.0,0.0,0.3,4.99467592592594,0.9,3.0
1,2021-05-04 16:17:07.916865,0.27222222089767456,5.81,0.0,0.0,0.3,4.86990740740742,0.9,3.0
1,2021-05-04 16:17:12.010407,0.43101853132247925,5.81,2.450000047683716,0.0,0.3,4.77916666666668,0.9,3.0
0,2021-05-04 16:17:16.142038,0.5898148417472839,5.81,0.0,0.0,0.3,4.69976851851853,0.9,3.0
1,2021-05-04 16:17:20.253266,0.7486110925674438,5.81,0.0,0.0,0.3,4.62037037037038,0.9,3.0
0,2021-05-04 16:17:25.219236,0.8847222328186035,5.81,2.450000047683716,0.0,0.3,4.55231481481482,0.9,3.0
1,2021-05-04 16:17:29.187577,0.04537037014961243,5.81,0.0,0.0,0.3,4.47291666666667,0.9,3.0
1,2021-05-04 16:17:33.230627,0.29490742087364197,5.81,2.450000047683716,0.0,0.3,4.34814814814815,0.9,3.0
1,2021-05-04 16:17:37.163359,0.43101853132247925,5.81,0.0,0.0,0.3,4.25740740740741,0.9,3.0
0,2021-05-04 16:17:41.004554,0.5671296119689941,5.81,0.0,0.0,0.3,4.18935185185186,0.9,3.0
0,2021-05-04 16:17:44.830915,0.7259259223937988,5.81,2.450000047683716,0.0,0.3,4.10995370370371,0.9,3.0
1,2021-05-04 16:17:48.834731,0.8847222328186035,5.81,0.0,0.0,0.3,4.03055555555556,0.9,3.0
1,2021-05-04 16:17:52.767201,0.04537037014961243,5.81,2.450000047683716,0.0,0.3,3.91712962962963,0.9,3.0
1,2021-05-04 16:17:56.826952,0.1814814805984497,5.81,2.450000047683716,0.0,0.3,3.83773148148148,0.9,3.0
0,2021-05-04 16:18:00.897580,0.317592591047287,5.81,0.0,0.0,0.3,3.76967592592592,0.9,3.0
1,2021-05-04 16:18:04.839077,0.5217592716217041,5.81,0.0,0.0,0.3,3.69027777777777,0.9,3.0
1,2021-05-04 16:18:08.850405,0.7486110925674438,5.81,2.450000047683716,0.0,0.3,3.56550925925925,0.9,3.0
0,2021-05-04 16:18:12.674964,0.9074074029922485,5.81,2.450000047683716,0.0,0.3,3.48611111111111,0.9,3.0
1,2021-05-04 16:18:16.737076,0.13611111044883728,5.81,2.450000047683716,0.0,0.3,3.42939814814814,0.9,3.0
