motor_status,timestamp,ub_tank,lb_bottle,ub_bottle,flowlevel,ll_tank,ll_bottle,lb_tank,sensor2_thresh,traffic
1,2021-05-03 09:15:49.425182,5.81,0.0,0.9,2.450000047683716,1.79606481481479,0.5217592716217041,0.3,3.0,normal
1,2021-05-03 09:15:53.005529,5.81,0.0,0.9,2.450000047683716,1.6259259259259,0.8166666626930237,0.3,3.0,normal
1,2021-05-03 09:15:55.980493,5.81,0.0,0.9,2.450000047683716,1.47847222222219,0.022685185074806213,0.3,3.0,normal
1,2021-05-03 09:15:58.962695,5.81,0.0,0.9,2.450000047683716,1.36504629629626,0.317592591047287,0.3,3.0,normal
1,2021-05-03 09:16:03.629463,5.81,0.0,0.9,2.450000047683716,1.25162037037034,0.635185182094574,0.3,3.0,normal
1,2021-05-03 09:16:06.359011,5.81,0.0,0.9,2.450000047683716,1.05879629629626,0.8620370626449585,0.3,3.0,normal
1,2021-05-03 09:16:09.133689,5.81,0.0,0.9,2.450000047683716,0.945370370370334,0.0,0.3,3.0,normal
1,2021-05-03 09:16:11.872374,5.81,0.0,0.9,2.450000047683716,0.831944444444408,0.1814814805984497,0.3,3.0,normal
1,2021-05-03 09:16:15.435330,5.81,0.0,0.9,2.450000047683716,0.729861111111074,0.40833333134651184,0.3,3.0,normal
1,2021-05-03 09:16:19.946254,5.81,0.0,0.9,2.450000047683716,0.593749999999963,0.8393518328666687,0.3,3.0,normal
0,2021-05-03 09:16:23.033841,5.81,0.0,0.9,2.450000047683716,0.412268518518482,0.9074074029922485,0.3,3.0,normal
1,2021-05-03 09:16:26.229762,5.81,0.0,0.9,0.0,0.321527777777741,0.09074074029922485,0.3,3.0,normal
0,2021-05-03 09:16:28.997820,5.81,0.0,0.9,2.450000047683716,0.298842592592556,0.1814814805984497,0.3,3.0,normal
1,2021-05-03 09:16:32.497426,5.81,0.0,0.9,0.0,5.8,0.1814814805984497,0.3,3.0,normal
1,2021-05-03 09:16:35.998095,5.81,0.0,0.9,2.450000047683716,5.76597222222222,0.29490742087364197,0.3,3.0,normal
1,2021-05-03 09:16:39.422725,5.81,0.0,0.9,2.450000047683716,5.61851851851852,0.5444444417953491,0.3,3.0,normal
0,2021-05-03 09:16:43.217268,5.81,0.0,0.9,2.450000047683716,5.48240740740742,0.9074074029922485,0.3,3.0,normal
1,2021-05-03 09:16:46.390930,5.81,0.0,0.9,0.0,5.38032407407409,0.0,0.3,3.0,normal
1,2021-05-03 09:16:49.718372,5.81,0.0,0.9,2.450000047683716,5.34629629629631,0.1587962955236435,0.3,3.0,normal
1,2021-05-03 09:16:53.599263,5.81,0.0,0.9,2.450000047683716,5.2101851851852,0.43101853132247925,0.3,3.0,normal
